AÑO,CBML,CLASE_ACCIDENTE,DIRECCION,DIRECCION ENCASILLADA,DISEÑO,EXPEDIENTE,FECHA_ACCIDENTE,FECHA_ACCIDENTES,GRAVEDAD_ACCIDENTE,MES,NRO_RADICADO,NUMCOMUNA,BARRIO,COMUNA,LOCATION,X,Y
2016,8000,Choque,CR 59 CL 40,CR  059   040  000 00000,Tramo de via,A000482857,16/10/2016 18:50:00,2016-10-16T23:50:00.000Z,Con heridos,10,1555385,80,Cabecera San Antonio de Prado,Corregimiento de San Antonio de Prado,"[-75.640150071, 6.18402839378]",827031.89,1175842.73
2016,1602,Choque,CL 32 F CR 74 B,CL  032 F   074 B  000 00000,Interseccion,A000483243,16/10/2016 16:45:00,2016-10-16T21:45:00.000Z,Con heridos,10,1555684,16,Rosales,Belén,"[-75.5907718384, 6.23832064544]",832515.98,1181833.01
2016,0103,Choque,CL 107 B CR 43 B,CL  107 B   043 B  000 00000,Tramo de via,A000483103,16/10/2016 12:00:00,2016-10-16T17:00:00.000Z,Solo daños,10,1555517,01,Popular,Popular,"[-75.5500189366, 6.29594286371]",837045.28,1188194.6
2016,0513,Choque,CR 64 C CL 92,CR  064 C   092  000 00000,Tramo de via,A000483155,16/10/2016 10:30:00,2016-10-16T15:30:00.000Z,Solo daños,10,1555538,05,Francisco Antonio Zea,Castilla,"[-75.5713587099, 6.28457841509]",834679.61,1186944.12
2016,1112,Choque,CL 45 F CR 78,CL  045 F   078  000 00000,Interseccion,A000482866,17/10/2016 00:05:00,2016-10-17T05:05:00.000Z,Con heridos,10,1555366,11,El Velódromo,Laureles Estadio,"[-75.5965245895, 6.2539095133]",831884.11,1183559.37
2016,6010,Caída de Ocupante,CL 64 B CR 125,CL  064 B   125  000 00000,Tramo de via,A000482868,17/10/2016 01:40:00,2016-10-17T06:40:00.000Z,Con heridos,10,1555395,60,Pedregal Bajo,Corregimiento de San Cristóbal,"[-75.630804036, 6.2785939297]",828097.44,1186301.23
2016,1016,Otro,CL 53 CR 41,CL  053   041  000 00000,Tramo de via,A000482877,17/10/2016 05:10:00,2016-10-17T10:10:00.000Z,Con heridos,10,1555394,10,Boston,La Candelaria,"[-75.5602233959, 6.24885354794]",835901.03,1182988.59
2016,0519,Otro,TV 78 CR 65,TV  078   065  000 00000,Tramo de via,A000482947,17/10/2016 20:30:00,2016-10-18T01:30:00.000Z,Con heridos,10,1555411,05,El Progreso,Castilla,"[-75.5737802262, 6.27544305503]",834408.68,1185934.29
2016,1506,Volcamiento,CR 70 CL 13 A,CR  070   013 A  000 00000,Tramo de via,A000482962,18/10/2016 06:35:00,2016-10-18T11:35:00.000Z,Con heridos,10,1555601,15,Parque Juan Pablo II,Guayabal,"[-75.5924277787, 6.2199461377]",832326.83,1179800.85
2016,0804,Choque,CL 63 CR 37,CL  063   037  000 00000,Interseccion,A000482973,18/10/2016 07:40:00,2016-10-18T12:40:00.000Z,Con heridos,10,1555732,08,La Ladera,Villa Hermosa,"[-75.5530003037, 6.25347171055]",836702.05,1183497.22
